town,area,price
Battery Park City,211,5073000
Lower East Side,90,1392000
Tribeca,491,21148000
Battery Park City,164,3137000
Lower East Side,182,3054000
Chinatown,194,2484000
Chinatown,132,2011000
Greenwich Village,310,7400000
Morningside Heights,73,915000
Two Bridges,169,2894000
Gramercy Park,173,3157000
Washington Heights,167,1427000
Tribeca,244,6840000
Flatiron,98,2250000
Hamilton Heights,110,780000
Financial District,191,2896000
Flatiron,72,1788000
Midtown West,243,4694000
Gramercy Park,372,6895000
Upper West Side,459,8485000
Greenwich Village,143,4619000
Nolita,249,8045000
Little Italy,143,3772000
Gramercy Park,230,4641000
Midtown East,325,5505000
Midtown West,194,4573000
Upper East Side,534,16823000
Inwood,134,924000
East Harlem,168,1158000
Morningside Heights,168,2191000
Midtown East,334,8097000
Tribeca,387,11138000
Hudson Yards,255,5749000
Hell's Kitchen,113,1746000
Midtown East,152,3804000
Hudson Yards,230,7093000
Chelsea,325,9149000
Carnegie Hill,307,6005000
Murray Hill,270,4892000
Flatiron,173,4411000
Tribeca,474,14296000
Little Italy,248,6231000
Stuyvesant Town,226,2967000
SoHo,202,6104000
Kips Bay,37,807000
Upper West Side,300,6708000
Murray Hill,108,2243000
Little Italy,226,4234000
Midtown West,235,5811000
Upper West Side,247,4149000
Flatiron,128,3780000
Greenwich Village,70,1955000
Hamilton Heights,102,827000
Hudson Yards,429,15733000
Midtown West,211,4217000
Carnegie Hill,342,10388000
Hell's Kitchen,188,4030000
Greenwich Village,288,8383000
Upper West Side,228,4670000
Hell's Kitchen,182,3940000
Inwood,121,523000
Chelsea,209,3816000
Greenwich Village,157,4017000
Harlem,130,1623000
Little Italy,42,844000
Morningside Heights,179,965000
East Harlem,197,1729000
Hudson Yards,282,13380000
Gramercy Park,169,3905000
Gramercy Park,148,3331000
Gramercy Park,200,4200000
Upper West Side,338,6098000
Washington Heights,108,667000
West Village,327,11393000
Midtown East,201,5814000
Battery Park City,257,5393000
Morningside Heights,88,990000
Tribeca,367,10727000
West Village,215,5412000
East Harlem,197,2744000
Little Italy,267,6062000
Little Italy,159,2630000
Lower East Side,168,2507000
Upper East Side,133,5298000
Midtown West,238,6143000
Battery Park City,202,3381000
Little Italy,108,1637000
Morningside Heights,57,696000
Murray Hill,85,1768000
Harlem,175,1783000
Washington Heights,118,1169000
Two Bridges,130,1355000
Washington Heights,148,1380000
Chelsea,255,4706000
Harlem,241,3241000
Flatiron,323,9782000
East Harlem,154,992000
East Harlem,158,1634000
Washington Heights,106,859000
Morningside Heights,97,1027000
Hell's Kitchen,152,3606000
Harlem,167,1940000
SoHo,335,8421000
Greenwich Village,310,11995000
West Village,243,4798000
Battery Park City,271,7234000
Murray Hill,153,3634000
Midtown East,306,6609000
Chelsea,195,5027000
Stuyvesant Town,130,1658000
Two Bridges,125,1245000
Upper East Side,619,24633000
Midtown West,303,7412000
Chelsea,250,5974000
Carnegie Hill,195,6741000
Stuyvesant Town,78,1608000
Inwood,104,854000
Chinatown,63,757000
Stuyvesant Town,166,2893000
Midtown West,37,805000
Inwood,123,530000
Upper East Side,322,8936000
Washington Heights,120,885000
Hudson Yards,368,9577000
Two Bridges,190,1455000
Battery Park City,213,4593000
Gramercy Park,247,5629000
Greenwich Village,156,4277000
Nolita,173,4259000
Lower East Side,209,3175000
Tribeca,203,6945000
Lower East Side,190,3369000
Gramercy Park,153,4153000
Kips Bay,242,4734000
Financial District,42,731000
Flatiron,180,4714000
Kips Bay,186,2443000
SoHo,366,8233000
Gramercy Park,357,9215000
Stuyvesant Town,148,2313000
Hudson Yards,412,17807000
Financial District,196,3864000
Inwood,171,1382000
Flatiron,170,3631000
Washington Heights,184,1219000
SoHo,322,11536000
Gramercy Park,159,3484000
Hell's Kitchen,265,5117000
Flatiron,260,5208000
Stuyvesant Town,116,1834000
Nolita,124,4210000
Washington Heights,173,1229000
Upper East Side,117,3600000
Nolita,299,10596000
Hamilton Heights,140,1115000
West Village,46,1850000
Murray Hill,104,1629000
Inwood,123,751000
Greenwich Village,253,7918000
SoHo,338,7566000
West Village,418,12440000
Financial District,220,3045000
Murray Hill,221,3509000
Midtown East,305,8069000
Harlem,196,2534000
Upper West Side,287,5703000
Chinatown,56,798000
Chinatown,65,745000
Two Bridges,131,988000
Two Bridges,64,736000
Harlem,190,2349000
Hamilton Heights,114,877000
Kips Bay,85,1134000
Chinatown,157,1529000
Midtown East,303,7659000
West Village,120,4170000
Midtown West,287,7888000
East Harlem,146,1408000
West Village,165,4047000
Hamilton Heights,152,1068000
Tribeca,110,3197000
Washington Heights,117,1087000
Lower East Side,56,1218000
Little Italy,141,2583000
Chinatown,156,2092000
Carnegie Hill,319,7686000
Upper West Side,322,8807000
Murray Hill,150,2796000
Murray Hill,257,2570000
Flatiron,120,2930000
Nolita,110,3667000
Flatiron,176,3832000
SoHo,290,10002000
Washington Heights,117,819000
East Harlem,119,1411000
Kips Bay,37,651000
Little Italy,220,6223000
Chinatown,139,2068000
Chelsea,141,2739000
Midtown West,117,2733000
Tribeca,285,11265000
Greenwich Village,266,6741000
Tribeca,352,12028000
Greenwich Village,294,8731000
Hell's Kitchen,115,2459000
West Village,182,7527000
Midtown West,231,5381000
Stuyvesant Town,182,3023000
Midtown West,295,8007000
Washington Heights,114,878000
Hudson Yards,377,12728000
Little Italy,203,6642000
Harlem,169,1722000
Midtown West,64,1164000
Lower East Side,204,3711000
Tribeca,305,7734000
Greenwich Village,191,5241000
Tribeca,299,10273000
West Village,306,7825000
Stuyvesant Town,177,2683000
Morningside Heights,170,2166000
Chelsea,240,6581000
Midtown East,156,4837000
SoHo,250,10088000
Carnegie Hill,416,11631000
Battery Park City,110,2112000
Lower East Side,217,3963000
Upper East Side,443,14033000
Hudson Yards,326,13389000
Two Bridges,139,1934000
Morningside Heights,118,1082000
Tribeca,95,2279000
Hamilton Heights,57,498000
Carnegie Hill,417,11108000
Little Italy,141,3709000
SoHo,353,13670000
Tribeca,239,6257000
Flatiron,283,7762000
Chinatown,95,966000
Tribeca,377,12586000
Kips Bay,175,4366000
Midtown East,375,8094000
Stuyvesant Town,164,3258000
Inwood,58,394000
Financial District,273,4334000
Lower East Side,172,2353000
Hudson Yards,343,11857000
Battery Park City,286,4835000
Hudson Yards,224,11004000
Two Bridges,75,818000
West Village,362,10450000
Battery Park City,132,3269000
West Village,150,4537000
Upper East Side,295,9157000
Gramercy Park,137,4127000
Hamilton Heights,138,1326000
Upper West Side,427,9615000
Morningside Heights,178,2134000
Stuyvesant Town,118,1926000
Chelsea,179,5117000
Upper East Side,358,13017000
Hamilton Heights,158,1081000
Hamilton Heights,62,525000
East Harlem,60,446000
Inwood,52,328000
Chinatown,179,1823000
Lower East Side,141,3027000
Upper East Side,214,4860000
Financial District,211,4272000
Stuyvesant Town,166,2428000
Flatiron,236,5715000
West Village,180,4225000
Gramercy Park,181,3835000
Harlem,128,1121000
SoHo,332,13262000
Morningside Heights,176,2236000
Hamilton Heights,78,636000
Washington Heights,146,1155000
East Harlem,232,2267000
Battery Park City,181,3748000
Greenwich Village,364,8515000
Chinatown,60,898000
Stuyvesant Town,215,3266000
Hell's Kitchen,199,4605000
Upper East Side,303,11465000
Washington Heights,133,1085000
Midtown East,245,7524000
Harlem,159,2941000
SoHo,426,17230000
Carnegie Hill,267,6910000
Chinatown,100,1326000
Hell's Kitchen,144,3749000
Tribeca,378,13877000
Kips Bay,204,2849000
Hudson Yards,249,6552000
Hudson Yards,361,15024000
Two Bridges,177,2140000
Harlem,102,972000
Inwood,96,528000
Harlem,241,2838000
Hudson Yards,422,9573000
Tribeca,377,13377000
Financial District,182,3848000
Hamilton Heights,67,576000
Kips Bay,243,5342000
Hamilton Heights,97,803000
Hudson Yards,342,12209000
Upper East Side,342,4392000
Gramercy Park,372,6313000
Tribeca,366,16395000
Carnegie Hill,465,10336000
Stuyvesant Town,126,1838000
Midtown West,137,2778000
Inwood,149,1015000
Midtown East,296,6068000
Battery Park City,261,6729000
Gramercy Park,164,4663000
Kips Bay,222,3992000
Kips Bay,149,3156000
Hamilton Heights,111,807000
Tribeca,498,18546000
SoHo,404,11135000
Greenwich Village,76,2213000
Hamilton Heights,114,1069000
Hell's Kitchen,120,2669000
Upper West Side,466,9800000
Hamilton Heights,75,485000
Stuyvesant Town,177,2497000
Hamilton Heights,183,1255000
Harlem,216,2158000
Carnegie Hill,188,4234000
Morningside Heights,166,2200000
West Village,292,9359000
Murray Hill,152,2407000
Tribeca,94,3335000
Hamilton Heights,149,1029000
Hamilton Heights,99,917000
Murray Hill,258,4203000
Midtown West,336,9686000
Two Bridges,126,771000
Hamilton Heights,123,858000
Gramercy Park,181,4752000
Morningside Heights,190,1415000
Nolita,92,2519000
Gramercy Park,245,4589000
Morningside Heights,136,1378000
Lower East Side,195,2955000
Midtown East,331,9367000
Gramercy Park,146,3318000
Hamilton Heights,105,821000
Morningside Heights,140,1849000
Upper West Side,347,6209000
Stuyvesant Town,104,1838000
Gramercy Park,270,5184000
Midtown East,144,2920000
Financial District,129,2533000
Harlem,181,1857000
Upper East Side,549,14649000
Financial District,189,2759000
Tribeca,297,8530000
Kips Bay,94,2146000
Carnegie Hill,352,13044000
East Harlem,163,1397000
Midtown West,141,2815000
Midtown East,377,10836000
Greenwich Village,337,7626000
SoHo,161,4704000
Nolita,273,7503000
Flatiron,272,6024000
Gramercy Park,221,4133000
Hell's Kitchen,210,3940000
Battery Park City,247,3833000
Battery Park City,215,4682000
Greenwich Village,219,6846000
Tribeca,328,13769000
SoHo,230,4688000
Hell's Kitchen,212,4590000
Nolita,200,5129000
Midtown East,237,6451000
West Village,343,7796000
Hudson Yards,172,5704000
SoHo,424,10987000
Greenwich Village,70,2074000
Midtown West,214,5176000
Upper East Side,536,14672000
Harlem,37,405000
Inwood,116,670000
Upper East Side,350,12143000
Midtown East,37,1100000
Two Bridges,84,892000
Tribeca,412,11397000
Murray Hill,131,2010000
Battery Park City,46,792000
East Harlem,182,2049000
Flatiron,176,4855000
Murray Hill,112,1938000
Gramercy Park,213,6702000
Nolita,260,7130000
Upper East Side,384,16258000
East Harlem,140,1582000
Greenwich Village,206,5554000
Hell's Kitchen,37,678000
Midtown West,227,4478000
Upper East Side,356,9166000
Lower East Side,124,2306000
Hell's Kitchen,183,3947000
Little Italy,93,2301000
Two Bridges,74,932000
Midtown West,241,5707000
Murray Hill,143,2709000
Greenwich Village,372,8990000
Upper West Side,303,7787000
Hudson Yards,73,2120000
Hudson Yards,160,4360000
Morningside Heights,89,1085000
Gramercy Park,246,5681000
Tribeca,151,5062000
Kips Bay,158,2841000
Gramercy Park,114,2397000
Chinatown,173,2231000
Chelsea,297,7411000
Gramercy Park,158,4339000
Gramercy Park,191,3780000
Financial District,201,5326000
Midtown East,287,5200000
Chelsea,261,6442000
Gramercy Park,323,9099000
Upper West Side,436,12877000
Financial District,167,3043000
Carnegie Hill,81,2044000
West Village,406,12167000
Little Italy,185,3540000
Hudson Yards,290,9465000
SoHo,301,9727000
Little Italy,259,6524000
Nolita,190,5899000
Little Italy,174,5164000
Stuyvesant Town,150,1995000
Morningside Heights,160,2376000
SoHo,176,3057000
Chinatown,205,2692000
Tribeca,172,6926000
Hudson Yards,327,15233000
Midtown West,102,2994000
Two Bridges,79,982000
Stuyvesant Town,149,2624000
SoHo,371,6231000
Stuyvesant Town,143,2323000
West Village,190,4856000
Hell's Kitchen,277,7044000
Lower East Side,169,2960000
Upper West Side,357,9160000
Gramercy Park,213,4719000
Stuyvesant Town,232,3569000
Lower East Side,146,1952000
Kips Bay,160,3872000
Tribeca,162,6327000
Two Bridges,86,1172000
Murray Hill,142,2588000
Midtown West,230,5463000
Battery Park City,208,4186000
SoHo,290,10696000
Morningside Heights,37,493000
Hell's Kitchen,140,3195000
Inwood,99,689000
Upper East Side,512,12868000
Kips Bay,129,2445000
West Village,337,5188000
Upper East Side,308,8662000
Chinatown,72,855000
Lower East Side,146,1953000
Gramercy Park,249,5409000
Financial District,152,2320000
Washington Heights,33,260000
Morningside Heights,167,1652000
Murray Hill,116,2000000
Kips Bay,185,3661000
Murray Hill,206,4112000
Upper West Side,200,4713000
Chelsea,279,7443000
Chelsea,140,3988000
Midtown West,234,5581000
Harlem,199,2344000
Battery Park City,131,3649000
Chinatown,136,1969000
Washington Heights,112,1082000
West Village,175,5460000
Stuyvesant Town,62,770000
Hell's Kitchen,194,4753000
Hudson Yards,290,9326000
Financial District,280,6537000
Tribeca,181,4554000
Battery Park City,67,1559000
Midtown East,269,3741000
Morningside Heights,139,1953000
Hudson Yards,183,5501000
Lower East Side,145,1970000
Financial District,249,6038000
Greenwich Village,353,6900000
Chinatown,72,932000
Upper East Side,262,5223000
Upper West Side,392,11734000
Hell's Kitchen,222,3565000
Midtown West,108,3061000
Nolita,117,3325000
Hudson Yards,281,9416000
Kips Bay,111,2047000
Nolita,232,6207000
Upper West Side,323,5779000
SoHo,356,11168000
Battery Park City,206,5351000
Carnegie Hill,264,6234000
Hamilton Heights,117,655000
Inwood,72,468000
Carnegie Hill,156,4966000
Midtown East,261,6447000
SoHo,254,6479000
Greenwich Village,193,5010000
Two Bridges,141,2084000
Morningside Heights,207,1945000
Chelsea,250,5176000
Morningside Heights,90,1024000
West Village,234,8531000
Murray Hill,198,3839000
Little Italy,135,3383000
Lower East Side,167,2483000
Nolita,197,6422000
Morningside Heights,170,1863000
Upper West Side,73,2020000
Little Italy,231,6115000
Two Bridges,175,2178000
Hamilton Heights,121,911000
SoHo,221,5324000
Hudson Yards,340,11166000
Little Italy,240,7538000
Midtown East,105,2661000
Lower East Side,155,3013000
Nolita,151,3206000
Greenwich Village,49,1497000
Financial District,246,5250000
East Harlem,133,1258000
Financial District,87,1606000
Midtown West,267,8039000
Murray Hill,193,2448000
Two Bridges,180,2290000
West Village,154,4696000
Upper East Side,581,15806000
Stuyvesant Town,42,488000
Upper West Side,128,2711000
SoHo,301,9520000
Harlem,89,1260000
Carnegie Hill,311,8114000
Morningside Heights,177,2339000
Stuyvesant Town,114,1509000
Greenwich Village,252,9749000
Hamilton Heights,139,1007000
Upper West Side,172,3879000
Hudson Yards,366,15567000
Chinatown,84,1262000
Inwood,143,1191000
Washington Heights,143,1136000
Inwood,59,278000
Washington Heights,135,936000
Chinatown,75,915000
Kips Bay,117,1714000
Chelsea,279,6573000
Chinatown,51,792000
SoHo,335,14569000
Midtown West,234,4182000
Little Italy,161,3709000
Flatiron,142,4370000
Murray Hill,71,1328000
Lower East Side,154,3272000
Midtown East,130,2444000
Harlem,122,1495000
Hamilton Heights,133,1029000
Morningside Heights,232,2400000
East Harlem,217,2377000
Upper West Side,285,7530000
Two Bridges,157,2055000
Nolita,187,4599000
Inwood,128,865000
Greenwich Village,328,8105000
Chinatown,125,1529000
Murray Hill,106,2602000
Upper East Side,240,6079000
Midtown West,372,9096000
Chelsea,305,7364000
Chinatown,168,1902000
Upper East Side,431,12755000
Battery Park City,96,2162000
Financial District,53,1091000
Upper West Side,339,6867000
Midtown West,301,6259000
Kips Bay,228,4506000
Hudson Yards,246,7972000
Washington Heights,38,375000
Carnegie Hill,293,9206000
Harlem,139,1677000
Chinatown,142,1858000
Two Bridges,53,546000
West Village,180,4297000
Midtown West,190,4792000
Kips Bay,131,2714000
Hamilton Heights,35,283000
Flatiron,138,3789000
Chelsea,137,3363000
Upper East Side,348,9717000
Battery Park City,159,4483000
Chinatown,67,711000
Inwood,150,1093000
Hell's Kitchen,149,3073000
Tribeca,396,15383000
Tribeca,399,10448000
Hell's Kitchen,141,3622000
Financial District,247,3389000
East Harlem,232,2024000
Carnegie Hill,331,9310000
Chinatown,162,1697000
Greenwich Village,169,4119000
Murray Hill,236,5034000
Hudson Yards,125,2439000
Upper West Side,306,6994000
Nolita,140,4438000
Hell's Kitchen,233,3939000
Hudson Yards,143,3489000
Two Bridges,118,1893000
Carnegie Hill,159,3291000
Midtown West,293,6525000
Gramercy Park,218,3921000
Lower East Side,182,2351000
Two Bridges,135,1708000
Flatiron,264,7760000
Kips Bay,148,3112000
Midtown West,199,4366000
Nolita,199,5041000
Murray Hill,184,3523000
Flatiron,262,6759000
Hudson Yards,79,2481000
Midtown East,189,3093000
Washington Heights,33,252000
Hamilton Heights,64,625000
Hamilton Heights,74,609000
East Harlem,102,1090000
Upper East Side,705,22701000
Hell's Kitchen,260,4722000
Hell's Kitchen,229,4816000
Nolita,133,3905000
Harlem,72,759000
Harlem,136,1707000
Nolita,109,3498000
Chelsea,218,6804000
SoHo,95,3513000
Harlem,142,1814000
Greenwich Village,254,6786000
Hudson Yards,184,6139000
Nolita,43,1009000
Upper West Side,352,9167000
Battery Park City,252,6055000
Inwood,109,741000
Murray Hill,176,3765000
Kips Bay,153,2412000
Two Bridges,125,1590000
Hudson Yards,231,7394000
Lower East Side,139,2910000
Tribeca,360,12054000
Morningside Heights,205,2190000
Hell's Kitchen,164,3369000
Harlem,180,3027000
Nolita,216,7547000
Hell's Kitchen,181,4975000
Midtown East,354,3450000
Upper East Side,349,4816000
Upper East Side,262,7421000
Hudson Yards,375,12746000
East Harlem,156,1609000
Gramercy Park,269,6471000
Morningside Heights,100,1129000
SoHo,254,7606000
Kips Bay,143,2411000
Hamilton Heights,109,703000
Washington Heights,122,853000
Chinatown,98,1207000
Two Bridges,153,2513000
Greenwich Village,329,10152000
Financial District,221,5437000
Hamilton Heights,168,2213000
Carnegie Hill,230,3799000
Stuyvesant Town,98,1712000
Washington Heights,150,873000
Upper East Side,394,11199000
Hell's Kitchen,204,5386000
Hamilton Heights,117,862000
Murray Hill,116,2413000
Gramercy Park,270,7494000
Battery Park City,92,2024000
SoHo,205,8207000
Harlem,176,2203000
Financial District,288,4785000
Lower East Side,213,3698000
SoHo,296,10570000
Hell's Kitchen,224,5172000
Tribeca,434,15457000
Nolita,95,2444000
Hamilton Heights,138,1137000
Upper West Side,283,6139000
West Village,183,7166000
Kips Bay,158,2186000
Little Italy,157,3290000
Two Bridges,173,2301000
Stuyvesant Town,145,2633000
Financial District,273,6882000
Kips Bay,37,626000
Tribeca,401,10915000
Battery Park City,161,3183000
Morningside Heights,155,1904000
Morningside Heights,162,1569000
Harlem,170,1438000
Chelsea,208,6332000
Midtown East,374,7285000
SoHo,312,8715000
Kips Bay,51,934000
West Village,212,7819000
Upper West Side,217,5152000
Harlem,203,2443000
Upper West Side,314,5678000
Flatiron,236,6759000
Flatiron,104,2727000
Washington Heights,121,568000
Hudson Yards,293,9253000
East Harlem,232,2352000
Lower East Side,136,2684000
Carnegie Hill,333,8393000
Upper West Side,337,6602000
Upper East Side,538,10952000
Stuyvesant Town,106,2124000
Stuyvesant Town,172,2473000
Stuyvesant Town,88,1276000
Harlem,62,732000
Lower East Side,190,2854000
SoHo,172,5463000
Harlem,205,1635000
Flatiron,292,6877000
Two Bridges,207,1153000
Hell's Kitchen,138,3077000
Tribeca,108,3421000
Financial District,246,4917000
West Village,222,5942000
Murray Hill,154,3000000
Two Bridges,127,1259000
Chelsea,162,4331000
Upper East Side,134,3608000
Tribeca,390,17255000
Financial District,218,4443000
East Harlem,111,1059000
Midtown East,309,7011000
Gramercy Park,267,6612000
Little Italy,221,6867000
Midtown East,232,4537000
Upper East Side,136,4054000
Battery Park City,127,3421000
Gramercy Park,167,3406000
Upper West Side,106,2144000
Harlem,111,1190000
Stuyvesant Town,148,2452000
Hell's Kitchen,214,4066000
Flatiron,161,4139000
Lower East Side,221,3362000
Little Italy,185,6000000
Hell's Kitchen,273,5455000
Gramercy Park,204,4405000
Two Bridges,173,2429000
Two Bridges,72,1172000
SoHo,329,12926000
Murray Hill,190,4160000
Little Italy,156,3709000
Washington Heights,93,675000
SoHo,422,14715000
Flatiron,46,939000
Tribeca,218,8252000
Nolita,325,9381000
Little Italy,148,2831000
Midtown East,285,6537000
Battery Park City,265,4981000
Chinatown,88,1238000
Washington Heights,106,890000
Morningside Heights,68,698000
Nolita,243,7610000
Nolita,193,4421000
Chinatown,169,1978000
Hell's Kitchen,140,2484000
Inwood,174,1158000
Hudson Yards,325,8282000
Financial District,167,3929000
Flatiron,72,2132000
Chelsea,111,2620000
Little Italy,80,1412000
Nolita,133,4622000
Lower East Side,114,2054000
Upper East Side,197,6847000
Little Italy,268,6048000
Inwood,144,1025000
Hell's Kitchen,135,2518000
Carnegie Hill,176,4771000
Chinatown,142,1919000
Financial District,275,5350000
Morningside Heights,111,1273000
Flatiron,195,5263000
Murray Hill,206,3555000
Upper West Side,305,9160000
Carnegie Hill,296,8882000
Stuyvesant Town,219,2961000
West Village,125,3766000
Gramercy Park,52,1166000
Murray Hill,37,800000
Two Bridges,122,1421000
East Harlem,230,2181000
Upper East Side,82,2418000
Washington Heights,150,1048000
Gramercy Park,124,3137000
Financial District,215,4989000
Kips Bay,156,2918000
Greenwich Village,201,6322000
Nolita,70,1645000
Nolita,272,7609000
Harlem,170,2210000
Chelsea,130,2085000
Upper East Side,147,4423000
Midtown West,136,3275000
Carnegie Hill,232,6326000
Two Bridges,99,1369000
Murray Hill,279,5872000
Two Bridges,119,1216000
Midtown East,214,4101000
Kips Bay,194,2894000
Upper West Side,415,9667000
Upper West Side,307,7106000
Morningside Heights,107,1073000
East Harlem,190,1690000
Midtown West,240,5263000
Carnegie Hill,421,10300000
Stuyvesant Town,164,2343000
East Harlem,81,713000
West Village,212,5955000
Inwood,95,555000
Stuyvesant Town,64,799000
Financial District,120,2483000
Harlem,120,1297000
Nolita,87,1827000
Battery Park City,240,3451000
East Harlem,191,2158000
Greenwich Village,320,9066000
Chinatown,111,1610000
Chinatown,152,1311000
East Harlem,149,1036000
SoHo,209,8093000
Upper East Side,313,10282000
Upper West Side,236,4747000
Stuyvesant Town,197,2502000
Tribeca,273,8004000
Washington Heights,146,946000
Stuyvesant Town,175,2600000
Midtown West,194,4681000
Hudson Yards,299,12888000
Midtown West,201,4946000
Greenwich Village,182,6405000
Battery Park City,115,2805000
Little Italy,229,4422000
Carnegie Hill,171,4640000
Financial District,122,1917000
Greenwich Village,42,1285000
Washington Heights,199,1368000
Midtown West,107,2422000
West Village,210,4035000
SoHo,286,3415000
Morningside Heights,163,1958000
Murray Hill,157,2913000
Midtown East,272,7373000
Greenwich Village,184,5670000
Two Bridges,46,565000
Midtown East,388,9304000
Nolita,184,4099000
Kips Bay,98,1966000
East Harlem,63,545000
Midtown West,150,2750000
Inwood,97,683000
Hamilton Heights,186,1172000
Midtown East,312,6886000
Washington Heights,129,1473000
Tribeca,126,2511000
Greenwich Village,281,7577000
Midtown West,242,4746000
Inwood,95,525000
Midtown West,138,3391000
Greenwich Village,250,5371000
Midtown East,225,4700000
Upper East Side,495,11556000
Chelsea,224,6192000
Washington Heights,51,417000
Gramercy Park,207,5080000
SoHo,152,3765000
East Harlem,144,1082000
Nolita,192,6423000
Hamilton Heights,136,1251000
SoHo,281,8159000
Hamilton Heights,146,905000
Upper East Side,250,7817000
East Harlem,83,566000
Hell's Kitchen,198,2378000
Chelsea,72,1486000
Harlem,144,2006000
Financial District,237,4198000
SoHo,229,5043000
Morningside Heights,132,1857000
East Harlem,180,1517000
Midtown East,199,5176000
Flatiron,284,7719000
Battery Park City,112,2629000
Little Italy,181,3768000
Stuyvesant Town,147,2674000
Washington Heights,34,202000
Two Bridges,188,2752000
Midtown East,158,3294000
Kips Bay,201,4311000
Midtown East,48,1057000
Chelsea,181,4347000
Upper East Side,602,17354000
Lower East Side,215,2843000
Battery Park City,124,2269000
Hell's Kitchen,105,2695000
Kips Bay,132,3251000
Murray Hill,156,2530000
Inwood,93,612000
Gramercy Park,197,5079000
Midtown West,319,8340000
SoHo,137,3392000
Greenwich Village,151,4248000
Harlem,97,1067000
Tribeca,220,6677000
Midtown West,63,1301000
Carnegie Hill,370,9761000
Murray Hill,98,1579000
Hudson Yards,312,9629000
Chelsea,302,7200000
Washington Heights,102,834000
Kips Bay,172,2468000
Hamilton Heights,78,526000
Carnegie Hill,327,9215000
Flatiron,340,9117000
Upper East Side,476,9511000
Gramercy Park,148,3883000
Gramercy Park,251,6925000
Midtown West,254,6185000
SoHo,321,11913000
Financial District,270,6556000
Hell's Kitchen,100,1772000
West Village,159,3809000
Battery Park City,200,4894000
Hudson Yards,243,7139000
SoHo,70,2127000
Harlem,253,2884000
East Harlem,50,514000
Inwood,130,614000
Stuyvesant Town,149,1403000
Hudson Yards,437,11001000
Two Bridges,184,2082000
Midtown West,328,8707000
Gramercy Park,135,3595000
Upper East Side,206,6136000
Morningside Heights,95,1372000
Little Italy,95,2558000
Chelsea,186,4431000
Hudson Yards,283,7000000
Chelsea,251,5627000
Hamilton Heights,80,619000
Harlem,195,1113000
Midtown West,190,3555000
East Harlem,104,822000
Chelsea,253,6075000
Inwood,34,230000
Midtown East,200,3861000
Tribeca,349,5068000
East Harlem,143,1523000
Battery Park City,246,4784000
Stuyvesant Town,42,668000
SoHo,118,4013000
Midtown West,128,2945000
Inwood,125,537000
Two Bridges,33,462000
Nolita,151,3754000
Gramercy Park,306,7591000
Inwood,133,1040000
Chelsea,83,1800000
Morningside Heights,133,1230000
West Village,249,9085000
Washington Heights,41,379000
Two Bridges,217,3189000
Washington Heights,143,1066000
Carnegie Hill,294,6202000
East Harlem,154,1465000
Harlem,234,2091000
Hell's Kitchen,168,4008000
Battery Park City,111,1715000
SoHo,217,6939000
Tribeca,290,13125000
Financial District,212,5445000
East Harlem,151,1204000
Tribeca,315,9484000
Kips Bay,66,999000
Kips Bay,168,3166000
Midtown East,225,5092000
Greenwich Village,105,3124000
Hell's Kitchen,70,1842000
Carnegie Hill,61,1706000
Gramercy Park,294,6038000
SoHo,291,11162000
Midtown East,250,6555000
Chelsea,172,5234000
Stuyvesant Town,79,1009000
West Village,152,5134000
Hudson Yards,303,10909000
Gramercy Park,134,2696000
Tribeca,233,9629000
Greenwich Village,204,4167000
Lower East Side,61,1282000
Lower East Side,226,1831000
Flatiron,46,821000
Stuyvesant Town,181,3230000
Stuyvesant Town,49,768000
Gramercy Park,242,6283000
Washington Heights,153,1266000
Upper East Side,304,7995000
East Harlem,53,454000
Two Bridges,150,2277000
Harlem,142,1541000
Nolita,148,2928000
Morningside Heights,82,512000
Flatiron,303,7236000
Two Bridges,86,1015000
Gramercy Park,372,6865000
Midtown West,270,6880000
Midtown West,227,4904000
Hudson Yards,352,11773000
Washington Heights,162,762000
Flatiron,171,4400000
Two Bridges,33,489000
Tribeca,136,4826000
Two Bridges,105,1852000
Kips Bay,204,4024000
Upper West Side,135,2164000
Midtown East,270,6382000
Upper West Side,46,1106000
Lower East Side,264,4643000
Financial District,372,6800000
Murray Hill,212,3693000
Inwood,38,261000
East Harlem,110,848000
Financial District,170,4158000
Financial District,171,4217000
Chinatown,158,1759000
Kips Bay,183,3415000
Washington Heights,150,922000
Financial District,194,3567000
Midtown West,148,2964000
Chinatown,195,2340000
Midtown West,346,7437000
Harlem,37,496000
Inwood,121,737000
Upper West Side,421,10429000
Harlem,150,1390000
Kips Bay,164,3512000
Hell's Kitchen,166,4794000
Kips Bay,149,3190000
Inwood,165,1000000
Stuyvesant Town,136,1686000
Midtown West,237,6415000
Harlem,163,887000
West Village,174,5710000
Upper West Side,502,11269000
West Village,195,6267000
Little Italy,152,3952000
Inwood,72,401000
Stuyvesant Town,124,1739000
Gramercy Park,199,4672000
Financial District,241,5429000
East Harlem,197,1348000
Hamilton Heights,107,1198000
West Village,236,5773000
Two Bridges,156,1884000
Midtown West,87,1934000
Harlem,127,1289000
Harlem,160,1791000
Upper East Side,549,15513000
Little Italy,212,4949000
Battery Park City,171,4525000
Carnegie Hill,56,1579000
Financial District,290,4212000
Harlem,125,1623000
Upper West Side,219,4252000
Hamilton Heights,105,670000
Flatiron,52,1050000
SoHo,312,8384000
Stuyvesant Town,128,2541000
Midtown East,192,2839000
